波士頓塞爾蒂克,Brad Stevens,東區聯盟,2,73.1%
Bradley,Beal,後衛,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203078.png
Davis,Bertans,前鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202722.png
Rui,Hachimura,前鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629060.png
Thomas,Bryant,中鋒-前鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628418.png
Ish,Smith,後衛,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202397.png
12月 22日,費城76人,8:00,0
12月 21日,多倫多暴龍,118,122
12月 19日,芝加哥公牛,109,110
12月 17日,底特律活塞,133,119
12月 15日,曼菲斯灰熊,111,128
12月 11日,夏洛特黃蜂,107,114
115.6
丹佛金塊,Michael Malone,西區聯盟,2,70.4%
Will,Barton,後衛,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203115.png
Gary,Harris,後衛,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203914.png
Jamal,Murray,後衛,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627750.png
Nikola,Jokic,中鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203999.png
Paul,Millsap,前鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/200794.png
12月 23日,洛杉磯湖人,10:30,0
12月 21日,明尼蘇達灰狼,109,100
12月 19日,奧蘭多魔術,113,104
12月 16日,紐約尼克,111,105
12月 15日,奧克拉荷馬城雷霆,110,102
12月 13日,波特蘭拓荒者,114,99
111.4
明尼蘇達灰狼,Ryan Saunders,西區聯盟,12,37.0%
Andrew,Wiggins,前鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203952.png
Karl Anthony,Towns,中鋒-前鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626157.png
Jeff,Teague,後衛,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201952.png
Robert,Covington,前鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203496.png
Jake,Layman,前鋒,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627774.png
